Repo Name,Collaborator,Collaborator2,Collaborator3,Collaborator4,Collaborator5,Collaborator6,Collaborator7,Collaborator8,Collaborator9,Collaborator10,Collaborator11,Collaborator12,Collaborator13,Collaborator14,Collaborator15,Collaborator16,Collaborator17,Collaborator18,Collaborator19,Collaborator20,Collaborator21,Collaborator22,Collaborator23,Collaborator24,Collaborator25,Collaborator26,Collaborator27,Collaborator28,Collaborator29
NRM_GA_SMP,michael-laney,Luther-Jolliff,Vladislav-Myakota,Sumeet-Erry,Macire-Diakite,"Tewedaj-Zegeye""",,,,,,,,,,,,,,,,,,,,,,,
NRM_SMP,mahmoud-awad,adrian-grell,Adam-Shepherd,Dorian-Hryniewicki,Jennifer-Starkey,Sara-Hibson,Ifenna-Okeke,Andrew-rawlings,vinu-raghavan,Macire-Diakite,Tewedaj-Zegeye,"Paul-Calabrese""",,,,,,,,,,,,,,,,,
NRM_SMP_API,mahmoud-awad,christalrhigdon,Adam-Shepherd,Dorian-Hryniewicki,vinu-raghavan,Macire-Diakite,Tewedaj-Zegeye,"Paul-Calabrese""",,,,,,,,,,,,,,,,,,,,,
NRM_SMP_DB,mahmoud-awad,Adam-Shepherd,Dorian-Hryniewicki,vinu-raghavan,Macire-Diakite,Tewedaj-Zegeye,"Paul-Calabrese""",,,,,,,,,,,,,,,,,,,,,,
NRM_SMP_QA,michael-laney,Francis-Erdman,"Fulati-Paerhati""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-574-Testing-Dataset,aaronburk,mahmoud-awad,nathan-farnsworth,andrew-hackethorn,allison-leech,lsamet,pam-wiese,thompson-grant,jonathanbenoit,Mark-Leikam,Lorena-Vasquez,"Tiffany-Mcvey""",,,,,,,,,,,,,,,,,
NRM-AccExcAddIn,nathan-farnsworth,brenda-bowen,andrew-hackethorn,ethan-bodin,jencinas,lynne-ouellette,"Michael-Allen""",,,,,,,,,,,,,,,,,,,,,,
NRM-AdhocQTool,gina-siroy,colin-stynes,christine-didocha,lance-bragin,todd-sherman,adrian-grell,Bennett-Lohre,bjlee,jencinas,jstangl,Jennifer-Bae,"Scott-Johnson""",,,,,,,,,,,,,,,,,
NRM-ADMIN,michael-spritzer,gina-siroy,"Thomas-Wolfe""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Air,nathan-farnsworth,denise-wickwar,sharon-horn,"karen-dillman""",,,,,,,,,,,,,,,,,,,,,,,,,
